url,city,price,price_per_sqm,description,street_name,street_number,area_m2,upload_date
https://www.myhome.ge/pr/14314713/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,60,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,აღმაშენებელი,აღმაშენებლის გამზ.,45მ²,30 ივნ 20:53
https://www.myhome.ge/pr/21717396/qiravdeba-2-otaxiani-bina-qutaisshi/,ქუთაისი,"1,200",27 / მ²,ქირავდება 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,გამსახურდია ზ. გამზ. 36,45მ²,30 ივნ 19:52
https://www.myhome.ge/pr/21717383/qiravdeba-4-otaxiani-bina-qutaisshi/,ქუთაისი,"1,100",12 / მ²,ქირავდება 4 ოთახიანი ბინა ქუთაისში,ნიკეა,ნიკეას ქ. 89,95მ²,30 ივნ 19:49
https://www.myhome.ge/pr/21717176/qiravdeba-1-otaxiani-bina-qutaisshi/,ქუთაისი,500,14 / მ²,ქირავდება 1 ოთახიანი ბინა ქუთაისში,ზასტავა,აბაშიძე ი. ქ.,35მ²,30 ივნ 19:12
https://www.myhome.ge/pr/21710516/qiravdeba-2-otaxiani-bina-qutaisshi/,ქუთაისი,700,16 / მ²,ქირავდება 2 ოთახიანი ბინა ქუთაისში,ასათიანი,ერისთავის ქ.,45მ²,30 ივნ 19:08
https://www.myhome.ge/pr/21707070/qiravdeba-2-otaxiani-bina-qutaisshi/,ქუთაისი,"1,361",26 / მ²,ქირავდება 2 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,საგარაძე ლ. ქ.,52მ²,30 ივნ 19:08
https://www.myhome.ge/pr/21184893/qiravdeba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"1,361",21 / მ²,ქირავდება 3 ოთახიანი ბინა ქუთაისში,ზასტავა,შარტავა ჟ. ქ. 26,65მ²,30 ივნ 18:59
https://www.myhome.ge/pr/21716946/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"313,111","3,070 / მ²",იყიდება 3 ოთახიანი ბინა ქუთაისში,ზასტავა,ბუხაიძის ქ.,102მ²,30 ივნ 18:51
https://www.myhome.ge/pr/21643595/qiravdeba-2-otaxiani-bina-qutaisshi/,ქუთაისი,400,11 / მ²,ქირავდება 2 ოთახიანი ბინა ქუთაისში,პლაშადკა,გურამიშვილი დ. ქ. 61,37მ²,30 ივნ 18:06
https://www.myhome.ge/pr/21716192/iyideba-1-otaxiani-bina-qutaisshi/,ქუთაისი,"100,740","3,250 / მ²",იყიდება 1 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,ფალიაშვილი ზ. ქ.,31მ²,30 ივნ 18:01
https://www.myhome.ge/pr/21715569/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,120,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,აღმაშენებელი,აღმაშენებელი დ. გამზირი 20,44მ²,30 ივნ 17:31
https://www.myhome.ge/pr/15829129/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"70,000",949 / მ²,იყიდება 3 ოთახიანი ბინა ქუთაისში,ავანგარდი,სულხან-საბას გამზ.,73.78მ²,30 ივნ 17:22
https://www.myhome.ge/pr/18978911/qiravdeba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"2,859",38 / მ²,ქირავდება 3 ოთახიანი ბინა ქუთაისში,მეფეთუბანი,თამარ მეფის ქ. 1,76მ²,30 ივნ 17:10
https://www.myhome.ge/pr/21496747/qiravdeba-4-otaxiani-bina-qutaisshi/,ქუთაისი,600,7 / მ²,ქირავდება 4 ოთახიანი ბინა ქუთაისში,საღორია,ახალგაზრდობის გამზ.,92მ²,30 ივნ 16:52
https://www.myhome.ge/pr/18523560/qiravdeba-2-otaxiani-bina-qutaisshi/,ქუთაისი,800,18 / მ²,ქირავდება 2 ოთახიანი ბინა ქუთაისში,ზასტავა,რუსთაველის შეს. 85,45მ²,30 ივნ 16:25
https://www.myhome.ge/pr/21713823/qiravdeba-2-otaxiani-bina-qutaisshi/,ქუთაისი,800,12 / მ²,ქირავდება 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 20,65მ²,30 ივნ 16:13
https://www.myhome.ge/pr/21713161/qiravdeba-1-otaxiani-bina-qutaisshi/,ქუთაისი,500,11 / მ²,ქირავდება 1 ოთახიანი ბინა ქუთაისში,სტეკლოტარა,ასათიანი ლ. ქუჩა 139,45მ²,30 ივნ 15:41
https://www.myhome.ge/pr/14818627/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,50,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,აღმაშენებელი,აღმაშენებლის გამზ.,35მ²,30 ივნ 15:01
