url,city,price,price_per_sqm,description,district_name,street_address,area_m2,upload_date,transaction_type
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-4-otaxiani-bina-qutaisshi-21819116,ქუთაისი,331.0,3.0,ქირავდება 4 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,შარტავა ჟ. ქ. 1,95.0,2025-07-13 11:19,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-qutaisshi-21819100,ქუთაისი,442.0,8.0,ქირავდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,თამარ მეფის ქ. 10,55.0,2025-07-13 11:07,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-1-otaxiani-bina-qutaisshi-21818764,ქუთაისი,276.0,8.0,ქირავდება 1 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,აღმაშენებლის გამზ. 136,36.0,2025-07-13 01:27,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-qutaisshi-21818644,ქუთაისი,46000.0,1314.0,იყიდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,გამსახურდია ზ. გამზ. 40,35.0,2025-07-12 23:38,იყიდება
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-qutaisshi-21818630,ქუთაისი,313.0,6.0,ქირავდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,გელათის ქ. 28,50.0,2025-07-12 23:24,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-qutaisshi-21818530,ქუთაისი,295.0,5.0,ქირავდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ჭავჭავაძე ზ. ქ. 22,65.0,2025-07-12 22:40,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-qutaisshi-21818087,ქუთაისი,47000.0,553.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,თაბუკაშვილის ქ. 18,85.0,2025-07-12 19:14,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-4-otaxiani-bina-qutaisshi-21817331,ქუთაისი,70000.0,389.0,იყიდება 4 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,მესხის ქ.,180.0,2025-07-12 17:16,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-qutaisshi-21817054,ქუთაისი,63000.0,1050.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ბალანჩივაძის ქ.,60.0,2025-07-12 16:45,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-qutaisshi-21816960,ქუთაისი,63000.0,1050.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ბალანჩივაძის ქ.,60.0,2025-07-12 16:36,იყიდება
